Daft Punk,Get Lucky (feat Pharrell Williams),Bm
Daft Punk,Giorgio By Moroder (feat Giorgio Moroder),Em
Daft Punk,"Harder, Better, Faster, Stronger",F#m
Daft Punk,One More Time,Bm
Daft Punk,Solar Sailer,Ebm
Damian Jr Gong Marley,One Loaf Of Bread (Something For You),Dm
Dan Le Sac,Thou Shalt Always Kill (feat Scroobius Pip),Bbm
Danny Byrd,Planet Music,Ebm
Daphni,Ye Ye,Ebm
Dark Sky,Drowned City,C#m
Dave Spoon,Bad Girl (At Night) (feat Lisa Maffia) (Beat Vandals Remix),Em
David August,Hamburg Is For Lovers,Em
David Bowie,China Girl,Em
David Guetta,GRRRR (Club Mix),Gm
David Morales,Needin' U (Original Mistake Edit),C
DC Breaks,Horror,F#m
DC Breaks,Swag,Fm
De La Soul,All Good? (feat Chaka Khan),Am
De La Soul,Oooh. (Original Version),C
De La Soul,"Ring Ring Ring (Ha Ha Hey) (UK 7"" Edit)",Fm
Dead Prez,Hip-Hop,Am
Deadmau5 & Kaskade,I Remember,B
Deee-Lite,Groove Is In The Heart (Peanut Butter Mix),Am
DeeJay Punk-Roc,Far Out,G#m
Deep Dish,Monsoon,C
Deep Dish,Summer's Over,Ebm
Deep Dish,The Future Of The Future (Stay Gold) (feat Everything But The Girl),Dm
Delroy Wilson,Love Uprising,Bb
Delta Heavy,Take The Stairs,F
Delta Heavy,Turbine,Am
Depeche Mode,Dream On,Ebm
Depeche Mode,It's No Good,Cm
Depeche Mode,Personal Jesus,F#m
Desmond Dekker,Beautiful & Dangerous,D
Diana Ross & The Supremes,You Keep Me Hangin' On,A
Die,Bright Lights (feat Interface and William Cartwright) (Rockers Mix),Fm
Die Antwoord,I Fink U Freeky,Bm
Digitalism,Magnets,Am
Digitalism,Zdarlight,Am
Dilated Peoples,Worst Comes To Worst,G#m
Dillinja,Twist Them Out,Am
Diplo,Summer's Gonna Hurt You (Diplo 2010 Remix),Bm
Disclosure,Help Me Lose My Mind (feat London Grammar) (Paul Woolford Remix),F#m
Disclosure,Latch (feat Sam Smith),Fm
Disclosure,What's In Your Head,Gm
Disclosure,When A Fire Starts To Burn,G
Disclosure,White Noise (feat Aluna George),Fm
Divine Soul,Shake That Ass (Black And White Dub),F#m
Dizraeli,Bomb Tesco (Scifax Remix),Am
Dizraeli,Earth Sound,Gm
Dizraeli,Million Miles,Cm
Dizzee Rascal,Brand New Day,G#m
DJ Clairvo,I'll Be A Good Man,Em
DJ DeeKline,4x4x4 (feat David Elliot),Dm
DJ DeeKline,Baila Baila (feat Wizard and Stereo Type),Em
DJ DeeKline,No No No (feat Ed Solo and Gala Orsborn) (Serial Killaz Remix),Am
DJ DeeKline,Sensi (feat Ed Solo),Em
DJ DeeKline,Steam (feat Wizard and DJ Fresh),Bbm
DJ Food,Dark Lady (Skint Mix),Am
DJ Format,3 Feet Deep (feat Abdominal and D-Sisive),Gm
DJ Format,The Hit Song (feat Abdominal),Eb
DJ Format,We Know Something You Don't Know (feat Chali 2na and Akil),Fm
DJ Fresh,Chacruna,Am
DJ Fresh,Golddust (feat Ce'cile) (VIP Ibrahim Edit),G
DJ Fresh,Hypercaine (feat Stamina and Koko),G#m
DJ Fresh,Mission To Mars,G#
DJ Fresh,The Gatekeeper,F#m
DJ Hazard,Evac Q 8,G#m
DJ Hazard,Machete,Ebm
DJ Krust,Warhead,F#m
DJ Mark The 45 King,The 900 Number,C
DJ Marky,Yellow Shoes (feat SPY) (Calibre Remix),Em
DJ Nut Nut,Special Dedication (Sigma Remix),G#
DJ Rap,Bad Girl (BT Spoken Progenitor Mix),Bbm
DJ Rap,Bad Girl (Roller Remix),Bbm
DJ Shadow,Disavowed (feat Zack De La Rocha),Ebm
DJ Shadow,Midnight In A Perfect World,Gm
DJ Shadow,Organ Donor (Extended Overhaul),C#m
DJ Shadow,What Does Your Soul Look Like (Part 2),Dm
DJ Shadow,You Can't Go Home Again (Radio Edit),Bbm
DJ Snake,Turn Down For What,Em
DJ SS,The Lighter,Cm
DJ Zinc,Super Sharp Shooter,Gm
DMX,Lord Give Me A Sign,Bm
Dom Almond,Shake It (Philipe Boyar Remix),Fm
Dom Almond,We Are Ravers,Am
Dom And Roland,Thunder (Remix),F#m
Donna Summer,"I Feel Love (12"" version)",C
Double 99,Ice Cream Dubplate,C#m
Double 99,Ripgroove (feat Top Cat) (Vocal Club Mix),Fm
Dr Dre,California Love (feat 2Pac),Gm
Dr Dre,Forgot About Dre (Instrumental),Gm
Dr Dre,Still D.R.E. (feat Snoop Dogg),Am
Dr Dre,The Next Episode (feat Snoop Dogg),Ebm
Dr Dre,Xxplosive (feat Hittman),Cm
Drumattic Twins,Snakebyte,Gm
Dub Phizix,Happy Five,Fm
Dub Phizix,Marka (feat Strategy),Em
Duck Sauce,Barbra Streisand,Eb
Dusky,Careless,Gm
Dutty Moonshine,Moonshine Hype (feat Hypeman Sage),F#m
Dynamic Syncopation,2 Tha Left (feat Mass Influence),Em
E-Z Rollers,Tough At The Top (Origin Unknown Remix),Gm
East 57th St,Saturday (Main Mix),Am
Ed Rush & Optical,Compound,F#m
Eddie Floyd,Knock On Wood,E
edIT,Battling Go-Go Yubari In Downtown L.A.,G#m
edIT,Straight Heat,Fm
Edward Sharpe & The Magnetic Zeros,Home,Bm
EDX,Embrace,Bm
EDX,Reckless Ardor,Bbm
Elastica,Connection,Bbm
Elastica,Image Change,Am
Electric Six,"Danger! High Voltage (Soulchild 12"" Blitz Mix)",Bm
Electric Six,Gay Bar,Dm
Eliphino,More Than Me,Am
Emeli Sandé,Heaven (Nu-Tone Remix),G#m
Eminem,"Bitch Please II (feat Dr Dre, Snoop Dogg, Xzibit and Nate Dogg)",Fm
Eminem,Lose Yourself,Dm
Eminem,My Name Is,Em
Eminem,Stan (feat Dido),G#m
Enei,Atlantis,F#m
Enei,Obsession (feat MC DRS),Cm
Energy 52,Café Del Mar,Dm
Eric B & Rakim,Know The Ledge,Gm
Eric Prydz,Pjanoo (High Contrast Remix),Gm
Erykah Badu,On & On,Em
Erykah Badu,Other Side Of The Game,G#m
Essess,Just Friends (feat Brendan Reilly),Cm
ETA,Casual Sub (Burning Spear),Bb
Eurythmics,Sweet Dreams,Cm
Eve,Let Me Blow Ya Mind (feat Gwen Stefani),G#m
Everything But The Girl,Missing (Todd Terry Club Mix),Am
Exco Levi,Storms Of Life,D
Faithless,Insomnia (Ib's quantised Monster Mix),Bm
Fatboy Slim,Acid 8000,Bm
Fatboy Slim,Gangster Tripping,C#m
Fatboy Slim,Praise You (Maribou State Remix),G#m
Fatboy Slim,"Right Here, Right Now",Am
FC Kahuna,Glitterball,G#m
Featurecast,Avenue Rock,Em
Featurecast,Funky White Brother,Em
Featurecast,Rock Ya Body,F
Featurecast,Take A Ride,Em
Featurecast,Wow!,Fm
Fedde Le Grand,Control Room,Am
Felix Da Housecat,Silver Screen - Shower Scene,Em
Felix Da Housecat,Silver Screen - Shower Scene (Thin White Duke Remix),Am
Filthy Kicks,Beauty and the Beats,C#m
Filthy Kicks,Crave,F#m
Filthy Kicks,Essa Einai,Cm
Filthy Kicks,Service,Dm
Finley Quaye,Even After All,E
Fischerspooner,*#!@¥¿,Gm
Fischerspooner,All We Are,Am
Fischerspooner,Cloud,Cm
Fischerspooner,Emerge,Fm
Flashmob,Need In Me,Cm
Florence & The Machine,You've Got The Love (Mark Knight Remix),Ebm
Flowdan,Say Nothin' (feat Jubei) (Rockwell Remix),Fm
Flying Lotus,Sultan's Request,Am
Flying Lotus,The Nightcaller,Em
Foreign Beggars,Hold On (feat DVS and Skinnyman),Cm
Foreign Beggars,"Stabilize (feat Kashmere, Metropolis and Graziella)",Bm
Four Tet,Parks,Am
Four Tet,She Moves She,Am
Four Tet,Twenty Three,Em
Four Tet,Unspoken,Em
Fourward,Talk To Me,Em
Frank Black,Headache,B
Frankie Goes To Hollywood,Relax,Em
Franz Ferdinand,The Dark Of The Matinee,A
Fred V,In My Head (Mutated Forms VIP),Cm
Fred V & Grafix,Find My Way,Bbm
Freddie McGregor,Big Ship,F
Frederic Robinson,Bloom (feat Stray),F#m
Frederic Robinson,Particles,Bbm
Frederic Robinson,Shut,F#m
Frederic Robinson,Static Float,G
Freemasons,Discopolis,Am
Freestylers,Don't Stop,F#m
Freestylers,Painkiller (feat Pendulum) (Ed Solo & Skool Of Thought Remix),Am
Freestylers,Ruffneck (feat Navigator),Fm
Friction,Flip The Page,Am
Friction,Life Cycle,Gm
Friction,Someone (feat McLean) (The Prototypes Remix),Fm
Fugees,Family Business,Fm
Fugees,Nappy Heads,Gm
Fugees,Ready Or Not (Ib's quantised DJ Zinc Remix),Am
Funkagenda,Breakwater (EDX Ibiza Sunrise Remix),Fm
Fybe-One,Fountain,Cm
Gabby Young & Other Animals,Goldfish Bowl,A
Gabby Young & Other Animals,We're All In This Together (Ibrahim's We're All OK Mix),C#m
Gang Of Four,Damaged Goods,Em
Gang Starr,The Rep Grows Bigga,Am
Gang Starr,Work,Am
Gary Numan,Cars,A
Gavin Herlihy,Endless Feeling (Larse Remix),Em
Ges-E,Streets Of Basra,Bm
Ginuwine,Pony,C#m
Gnarls Barkley,Crazy,Cm
Gold Chains,Nada,G#m
Goldfrapp,Lovely 2 C U,Gm
Goldfrapp,Ooh La La,Am
Goldfrapp,Train,Fm
Goose,Black Gloves,Em
Gorillaz,All Alone,Am
Gorillaz,Clint Eastwood (Ed Case & Sweetie Irie Refix),Ebm
Gorillaz,El Mañana,Am
Gorillaz,Feel Good Inc.,Ebm
Gorillaz,Sound Check (Gravity),Am
Gramatik,Dungeon Sound,Dm
Grandmaster Flash,The Message (feat The Furious Five),G#m
Grimes,Visiting Statue,Bbm
Grooverider,Rainbows Of Colour (feat Roya Arab) (VIP Mix),Cm
Grum,The Touch (Radio edit),Em
Guy J,High (Marc Marzenit Remix),Fm
Gwen McCrae,All This Love That I'm Giving,Ebm
GZA,B.I.B.L.E. (Basic Instruction Before Leaving Earth),C#m
Halcali,Giri Giri Surfrider,Cm
Hamilton,Soundboy VIP,Em
Happy Mondays,Step On,D
Hardrive,Deep Inside,Bm
Hardwell,Smoke (Remastered Club Mix),G#m
Hayley Parsons,In My Seoul (Sage Tech Remix),Gm
Henrik B,Overrun,Gm
High Contrast,Almost Human (feat Clare Maguire),Dm
High Contrast,Basement Track,Am
High Contrast,If We Ever (feat Diane Charlemagne),Dm
High Contrast,Kiss Kiss Bang Bang,Gm
Holger Zilske,To Them To Me (Vincenzo Teardrop Remix),Am
Hollen,Arpeus,Cm
Hot Chip,And I Was A Boy From School,G#m
Hot Chip,Over & Over,Cm
Hot Chip,Shake A Fist,Cm
Hot Since 82,Let It Ride,Am
Hot Toddy,Slave To You,Em
House of Pain,Jump Around,E
Hybrid Minds,Meant To Be,Fm
Ice Cube,It Was A Good Day,Gm
Ice Cube,You Can Do It (feat Mack 10 and Ms Toi),Am
Iggy Pop,The Passenger,Am
Ike,Diskadenz,Em
Incident,Hindoo,Am
Indo,R U Sleeping (Bump & Flex Vocal Mix),Em
Infinity Ink,Infinity,Am
Ini Kamoze,Here Comes The Hotstepper,Bm
Inner City,Good Life,Bm
J Majik & Wickaman,Ritual,Fm
Jackie Edwards & Julie Anne,In Paradise,F#
Jackson 5,I Want You Back,G#
Jaded Little Pill,Accelerator,G#m
James Brown,Get Up (I Feel Like Being A) Sex Machine,Eb
James Brown,Papa's Got A Brand New Bag (Part 1),Em
James Brown,The Payback (Part 1) (DJ promo version),Bbm
Jamiroquai,Space Cowboy (David Morales Classic Club Remix),Bbm
Jason Sparks,Gangsters,Bb
Jay Z,99 Problems,Em
Jay Z,Niggas In Paris,Fm
Jay-Z,Dead Presidents II,Gm
Jaydee,Plastic Dreams (Radio Edit),Cm
Jean Knight,Mr Big Stuff,Eb
Jean-Jacques Perrey,E.V.A.,Cm
Jimi Hendrix,All Along The Watchtower,Cm
JK Soul,The Music,Em
John B,ElectroFreek! (feat Libby Picken) (Epic Killah Mix),Em
John Dahlback,Sing That,C#m
John Williams,The Imperial March,Gm
Johnny Almond Music Machine,Solar Level,Cm
Johnny Osbourne & The Sensations,See And Blind,C
Jonny L,Hurt You So,Bm
Joris Voorn,Ringo,Fm
Josh Wink,Higher State Of Consciousness (Tweekin' Acid Funk),G
Joy Division,Love Will Tear Us Apart,D
Joyce Muniz,Malicia (feat Sketch),Gm
Junior Senior,Move Your Feet,Am
Jurassic 5,Concrete Schoolyard,C
Jurassic 5,In The Flesh,G
Jurassic 5,Twelve,Bm
Justice,D.A.N.C.E.,A
Justice,Phantom Pt II,Dm
Justice vs Simian,Never Be Alone,Am
Justin Hinds & The Dominos,Carry Go Bring Come,C
Justin Timberlake,Like I Love You,Bm
JVC Force,Strong Island,F#m
Kanye West,Gold Digger,G#m
Kaskade,I Remember (feat Deadmau5) (J Majik & Wickaman Remix),Bm
Kate Tempest,Circles,Bm
Kate Tempest,The Beigeness,Gm
Katy B,Katy On A Mission (Single),Cm
Kelis,Caught Out There,Gm
Kelis,Milkshake (Freq Nasty's Hip Hall Mix),C#m
Klangkarussell,Sonnentanz,Fm
Kloe & Imprintz,It's Time,Em
Kool A.D.,A Ganglion of Lightnings,Bbm
Kool And The Gang,Get Down On It,Em
Kosheen,Hide U (Single),C#m
Krafty Kuts,Happiness (feat A-Skillz),G#
Krash Slaughta,Ray's Road,Am
KRS-One,MCs Act Like They Don't Know,Ebm
KRS-One,Sound Of Da Police,F#m
Kula Shaker,Hey Dude,C
Kurtis Blow,The Breaks,Em
Kylie Minogue,Can't Get You Out Of My Head,Dm
La Roux,In For The Kill,G#m
Ladytron,Beauty #2,F#m
Ladytron,Destroy Everything You Touch,Em
Ladytron,Seventeen,Gm
Ladytron,The Reason Why,Cm
Lamb,I Cry,F#m
Lamb,Sweetheart,Am
Lambchop,Up With People,E
Lane 8,Every Night (Radio edit),D
Larse,So Long,Am
Laurent Garnier,The Sound Of The Big Babou,Bb
LCD Soundsystem,Daft Punk Is Playing At My House,Am
LCD Soundsystem,Losing My Edge,Gm
LCD Soundsystem,North American Scum,Em
LCD Soundsystem,Tribulations,Bm
Leftfield,A Final Hit,Dm
Leftfield,Afrika Shox,Ebm
Leftfield,Afro-Left,G#m
Leftfield,Chant Of A Poor Man,Fm
Leftfield,Inspection (Check One),Fm
Leftfield,Phat Planet,G#m
Leftfield,Song Of Life,Cm
Leftfield,Space Shanty,G
Leftfield,Storm 3000,Dm
Leftfield,Swords,Gm
Lenzman,Broken Dreams,F#m
Lenzman,Open Page (feat Riya),Bbm
Les Rythmes Digitales,(Hey You) What's That Sound?,G#m
Les Rythmes Digitales,Jacques Your Body (Make Me Sweat),Bm
Lethal Bizzle,Pow! (Forward),Fm
Lewis B,Pinball,Cm
Liam Bailey,When Will They Learn (Radio Edit),F#m
Lipps Inc,Funkytown,C
Liquid,Sweet Harmony,Am
Liquid Stranger,Shake My Ass,Fm
Livin' Joy,Dreamer,Cm
LL Cool J,It Gets No Rougher,Bbm
Lo-Fidelity Allstars,Battleflag,Cm
Loadstar,Kaoss,Fm
Loadstar,Refuse To Love,Am
Loadstar,Stepped Outside,Fm
Logistics,2999 (Wherever You Go),Em
Logistics,Inside My Soul (Friction & Nu Balance Remix),Cm
Logistics,The Trip,Ebm
Logistics,Together,G#m
Loleatta Holloway,Love Sensation,Am
London Elektricity,Just One Second (Apex Remix),F#m
London Elektricity,Melloizdaman (feat MC Mello),Am
London Elektricity,Vapour Trails,F
Lou Millar,Brute Heart (Matrices Remix),Bm
Louie Austen,Grab My Shaft! (feat Peaches),C#m
Lovebirds,This Time (feat Novika) (Gorge Remix),Ebm
Lowkey,I'm Back,Gm
Luke Vibert,I Hear The Drummer,Ebm
Luminox,I Run This,Gm
Luniz,I Got 5 On It (Aphrodite's Original Dubplate),Bbm
Luther Vandross,Never Too Much,Bm
Lynx,Shimmy,F#m
M-Beat,Sweet Love (feat Nazlyn),Bb
M.I.A.,10 Dollar,G#m
M.I.A.,Amazon,Bm
M.I.A.,"Fire, Fire",C#m
M.I.A.,Paper Planes,D
M.O.P.,Ante Up (Robbing-Hoodz Theory) (feat Funk Master Flex),Fm
M.O.P.,Cold As Ice,G#m
M|O|O|N,Crystals,Am
Maceo & The Macks,Cross The Tracks (We Better Go Back),Bbm
Madness,Chase The Devil,Am
Madness,One Step Beyond,Cm
Major Lazer,Get Free (Andy C Remix),Bm
Mark Knight,Alright,Cm
Mark Knight,Antidote (feat Funkagenda),Ebm
Mark Knight,Conscindo (feat Wolfgang Gartner),Gm
Mark Knight,Man With The Red Face (feat Funkagenda),Fm
Mark Knight,Nothing Matters (feat Skin) (Noisia Remix),Em
Mark Knight,Your Love,Ebm
Marshall Jefferson,Move Your Body,Em
Martha Reeves & The Vandellas,Nowhere To Run,G
Marvin Gaye,Got To Give It Up (Part 1),Am
Marxman,Fascist Boom,Bbm
Mary J Blige,Family Affair,C#m
Massive Attack,Angel,Cm
Massive Attack,Mezzanine,Am
Massive Attack,Teardrop,Am
Massive Attack,Unfinished Sympathy,Dm
Masta Ace,Unfriendly Game (feat Stricklin),Bbm
Max Romeo & The Upsetters,Chase The Devil (Ib's quantised edit),Am
MC Hammer,U Can't Touch This,Am
MC Solaar,¡Hasta La Vista Mi Amor! (Spanish Version),Ebm
Metrik,Genesis,Em
Metrik,I See You (feat Kathy Brown),Cm
Michael Jackson,Beat It,Ebm
Michael Jackson,Billie Jean,F#m
Michael Woods,Nitro,Em
Mickey Finn & Aphrodite,Bad Ass,Gm
Mighty Dub Katz,Magic Carpet Ride,F#m
Mind Vortex,Alive,Bm
Mindscape,Bounce,F#m
Miss Kittin,Happy Violentine,Ebm
Miss Kittin,Professional Distortion,Fm
Missy Elliott,Get Ur Freak On,Fm
MJ Cole,Sincere (Nero Remix),Fm
MK,Always (feat Alana) (Route 94 Remix),Dm
Mobb Deep,I'm Going Out (ft. Lil' Cease),Bm
Mobb Deep,Shook Ones Pt 2 (Instrumental),Bbm
Mobb Deep,Survival Of The Fittest (Remastered),Em
Moby,Anthem,Fm
Moby,Go,Em
Moby,Honey,Bbm
Moloko,Cannot Contain This,Em
Moloko,Sing It Back (Boris Dlugosch Musical Mix Edit),Ebm
Moresounds,Day N Days,Em
Mos Def,Ms Fat Booty,F#m
Moving Fusion,Turbulence,G#m
Mr Fingers,Can You Feel It (Instrumental),Am
Mr Oizo,Flat Beat,Bm
